,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,year,make,model,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,income,using_time,region,K
0,0,0,174803,2012,infiniti,M,sedan,automatic,tn,5.0,35439.0,gray,black,24600,24600,57290,3,southeast,1
1,1,1,182881,2003,chevrolet,Impala,sedan,automatic,md,3.3,138461.0,red,gray,2250,2400,89090,12,northeast,1
2,2,2,372241,2005,hyundai,Santa Fe,suv,automatic,va,2.5,148266.0,blue,gray,2575,3300,74430,10,southeast,0
3,3,3,326815,2013,chevrolet,Malibu,sedan,automatic,mi,2.8,57323.0,gold,gray,11100,10600,65610,2,midwest,0
4,4,4,78904,2012,nissan,Altima,sedan,automatic,tx,3.4,41193.0,white,beige,11600,11400,68360,3,southwest,2
5,5,5,226421,2003,mercedes-benz,E-Class,sedan,automatic,fl,2.8,126584.0,silver,green,4850,4300,59100,12,southeast,1
6,6,6,173346,2013,lincoln,MKS,sedan,automatic,tn,3.2,12084.0,—,black,27600,26100,57290,2,southeast,1
7,7,7,117777,2010,chevrolet,Malibu,sedan,automatic,pa,3.7,38331.0,red,black,9775,10500,73100,5,northeast,2
8,8,8,192225,1999,isuzu,Rodeo,suv,automatic,fl,2.7,129843.0,white,gray,1075,700,59100,15,southeast,1
9,9,9,365983,2004,toyota,Sienna,van,automatic,va,2.2,138106.0,blue,gray,4150,4800,74430,10,southeast,0
10,10,10,108447,2004,ford,Explorer,suv,automatic,pa,2.8,111317.0,white,black,4275,2600,73100,11,northeast,2
11,11,11,161861,2012,mercedes-benz,E-Class,sedan,automatic,tn,3.5,35398.0,gray,black,25800,25750,57290,3,southeast,1
12,12,12,142865,2011,chevrolet,Impala,sedan,automatic,az,2.5,73354.0,silver,black,7550,7400,63250,4,southwest,2
13,13,13,421147,2013,mazda,Mazda3,sedan,automatic,il,2.4,50001.0,black,black,9675,9700,73130,2,midwest,0
14,14,14,334195,2010,chrysler,Sebring,sedan,automatic,mi,3.4,83541.0,black,beige,6575,5900,65610,5,midwest,0
15,15,15,173273,2012,honda,Accord,sedan,automatic,tn,3.2,61783.0,black,tan,14350,14400,57290,3,southeast,1
16,16,16,192360,2013,hyundai,Elantra,sedan,automatic,fl,1.0,17281.0,black,tan,12450,9500,59100,2,southeast,1
17,17,17,44688,2007,nissan,Altima Hybrid,sedan,automatic,ca,2.6,189122.0,gray,gray,3700,3750,77030,8,pacific,2
18,18,18,418205,2006,pontiac,G6,sedan,automatic,il,1.9,81654.0,black,black,5075,3900,73130,9,midwest,0
19,19,19,215002,2013,ford,Fusion,sedan,automatic,fl,3.3,24359.0,silver,black,15250,13800,59100,2,southeast,1
20,20,20,249939,2013,chevrolet,Spark,hatchback,automatic,fl,2.8,49325.0,blue,black,7550,7500,59100,2,southeast,1
21,21,21,351589,1994,ford,Taurus,sedan,automatic,ga,2.0,39196.0,black,tan,375,400,61450,21,southeast,0
